Name,Category,Rate,Address,Traffic,Time,Menu
명지첫집 오션시티직영점,"족발,보쌈",3.8,부산 강서구 명지오션시티11로 74 2층 203호 (우)46764,3485,"['매일 11:30 ~ 21:00', '매일 휴게시간 15:00 ~ 17:00']","{'보쌈정식(2인)': '24,000', '보쌈수육(2인)': '34,000', '쭈꾸미보쌈(2~3인)': '42,000', '족발(앞다리살)': '34,000', '보쌈족발(보쌈반족발반)': '42,000'}"
하이멍 애견카페,애견카페,3.5,부산 강서구 봉림길203번길 119-1 1층 (우)46709,3482,"['토,일 10:00 ~ 19:00']","{'아메리카노': '2,500'}"
방코,피자,3.4,"부산 강서구 새진목길 51 1,2층 (우)46717",3446,"['화~일 11:30 ~ 20:30', '화~일 휴게시간 14:30 ~ 17:00']","{'마르게리따 피자': '17,000', '무화과 블루치즈 피자': '17,000', '콰트로 포르마치 피자': '18,000', '페퍼로니 피자': '17,000', '베이컨 로제 파스타': '16,000'}"
로빈뮤지엄,디저트카페,4.5,부산 강서구 신호산단1로140번길 71 1층 (우)46759,3337,['화~일 11:00 ~ 18:00'],"{'아메리카노': '4,500', '바닐라라떼': '5,500', '카페라떼': '5,500', '카페모카': '6,000', '아포가토': '6,000'}"
부산조개창고 명지점,조개,3.3,부산 강서구 명지국제2로28번길 23 네오웨스턴스퀘어 2동 3층 319~321호 (우)46726,3335,['매일 12:00 ~ 23:00'],"{'조개창고 무한리필(성인)': '26,900', '조개창고 무한리필(초등학생)': '17,900', '조개창고 무한리필(미취학아동)': '12,900'}"
봄내멸치쌈밥,쌈밥,4.3,부산 강서구 명지오션시티8로 27 1층 (우)46763,3218,['null'],"{'멸치쌈밥': '7,500', '다슬기들깨탕': '7,500'}"
영진돼지국밥 신호점,국밥,4.5,부산 강서구 신호산단2로49번길 48 (우)46759,3175,['월~토 08:00 ~ 21:30'],"{'돼지국밥': '7,500', '내장국밥': '7,500', '순대국밥': '7,500', '섞어국밥': '7,500', '모듬국밥': '7,500'}"
박가네순두부,두부전문점,4.8,부산 강서구 신호산단1로98번길 91 (우)46760,3143,['null'],"{'사골두부전골 (중)': '28,000', '부대전골 (중)': '22,000', '김치전골 (중)': '22,000', '박가네순두부': '8,000', '두부김치': '14,000'}"
영진돼지국밥,국밥,4.1,부산 강서구 명지오션시티8로 31 (우)46763,3141,['월~토 09:00 ~ 21:00'],"{'보쌈수육 (중)': '35,000', '모듬수육 (중)': '35,000', '돼지국밥': '7,500', '내장국밥': '7,500', '섞어국밥': '7,500'}"
글리제,커피전문점,4.5,부산 강서구 가덕해안로 592 (우)46770,3100,['매일 10:30 ~ 21:00'],"{'아메리카노': '5,500', '바닐라라떼': '6,000', '청포도녹차': '6,500', '망고패션후르츠에이드': '7,000', '크로와상': '5,000', '팡도르': '6,000', '': ''}"
버거킹 김해공항DT점,버거킹,3.0,부산 강서구 공항로 779 (우)46720,3048,['매일 09:00 ~ 24:00 (킹오더 09:00-23:45)'],"{'스모키 바비큐 몬스터 세트': '13,500', '스모키 바비큐 와퍼 세트': '12,000', '스모키 바비큐 X 세트': '13,300', '치킨킹BLT 세트': '10,900', '콰트로치즈와퍼 세트': '11,300', '몬스터와퍼 세트': '12,200', '': ''}"
대마등,회,2.3,부산 강서구 르노삼성대로 574 (우)46773,3034,['매일 11:00 ~ 21:00'],"{'갈삼구이 (대)': '50,000', '갈삼구이 (소)': '40,000', '갈미조개수육 (소)': '40,000', '조개샤브샤브 (소)': '40,000', '조개전골 (소)': '40,000'}"
일삼육고깃집,"육류,고기",3.5,부산 강서구 명지국제8로 293 2층 (우)46773,3032,['매일 11:30 ~ 23:00'],"{'흑돼지 한마리(100g)': '9,900', '흑돼지 참치살(100g)': '8,330', '흑돼지 두루치기(100g)': '8,330'}"
투썸플레이스 부산대저점,투썸플레이스,2.4,부산 강서구 공항로811번가길 27-1 2~5층 (우)46720,3002,['매일 07:30 ~ 23:00'],{}
브런치빈 부산명지점,카페,2.5,부산 강서구 명지오션시티4로 94 명호빌딩 7층 701호 (우)46765,2986,"['매일 09:00 ~ 21:00', '매일 휴게시간 15:00 ~ 16:30']","{'오리엔탈 쉬림프 필라프': '9,900', '스파이시 쉬림프 리조또': '12,900', '핫 크리스피 치킨': '12,900', '샘플러': '14,900', '리코타 샐러드': '9,900', '베리 프렌치 토스트': '9,900', '': ''}"
낭만송백,카페,3.7,부산 강서구 맥도강변길 283 1층 (우)46723,2975,"['토,일 11:00 ~ 19:00']","{'아메리카노': '5,000', '카페라떼': '5,500', '와플': '18,900', '프렌치토스트': '12,000', '노르망디샌드위치': '12,000'}"
토다이U 부산명지점,해산물뷔페,2.0,부산 강서구 명지국제6로 107 B동 1층 (우)46726,2921,"['월,수,목,금,토,일 11:50 ~ 21:30', '토,일 휴게시간 16:00 ~ 17:00']",{'null': 'null'}
할리스 명지국제신도시점,할리스,2.5,"부산 강서구 명지국제11로 57 1,2층 (우)46773",2861,"['금,토 11:00 ~ 01:00']","{'샤인머스캣 봉봉 스무디': '6,800', '토마토 통통 주스': '6,500', '키위 생생 주스': '6,500', '딸기 크럼블 쏘스윗박스': '6,500', '트리플 초코 케이크': '5,900', '트리플 베리 생크림': '5,900', '': ''}"
산골애,오리,3.4,부산 강서구 명지오션시티1로 173 청산오션타워 301호 (우)46764,2852,['화~일 11:30 ~ 22:00'],"{'수제누룽지 오리백숙 (2인)': '45,000', '수제누룽지 닭백숙 (3~4인)': '62,000', '한방오리주물럭 (반마리)': '35,000', '산골에 오리생고기 (반마리0': '35,000', '산골애오리훈제 (반마리)': '35,000'}"
챠오샤브,샤브샤브,3.8,부산 강서구 명지국제2로28번길 23 네오웨스턴스퀘어 2동 2층 222호 (우)46726,2819,['매일 11:00 ~ 22:00'],"{'소고기 월남쌈 샤브': '13,000', '한우 월남쌈 샤브': '16,000', '조개 소고기 월남쌈 샤브': '16,000', '조개 한우 월남쌈 샤브': '19,000', '주먹밥&스크램블': '3,000'}"
우적 명지점,한식,4.5,부산 강서구 명지국제6로1번가길 6 1층 (우)46726,2747,['매일 11:50 ~ 23:00'],"{'추천\n한우모듬 (대)': '150,000', '한우모듬 (중)': '126,000', '한우모듬 (특대)': '178,000', '한우모듬 (소)': '98,000', '새우살': '42,000', '꽃등심': '35,000', '': ''}"
룸606,이탈리안,4.3,부산 강서구 명지국제6로 316 1층 (우)46773,2743,['매일 09:30 ~ 21:00'],"{'투움바 파스타': '15,900', '눈꽃피자': '14,900'}"
효돈까스 명지국제신도시점,"돈까스,우동",4.4,부산 강서구 명지국제6로318번길 38 (우)46773,2716,"['월,수,목,금,토,일 11:30 ~ 21:30']","{'베이컨로제 파스타돈까스': '12,800', '치즈 돈까스': '11,800', '해물볶음우동': '9,800', '토마토치즈파스타': '10,800'}"
배말칼국수김밥 가덕도점,칼국수,3.3,부산 강서구 가덕해안로 779 (우)46770,2699,"['매일 10:30 ~ 19:30', '매일 휴게시간 16:00 ~ 17:00']",{'null': 'null'}
채선당 자연한가득 부산명지점,한식뷔페,4.0,부산 강서구 명지국제1로 60-1 3층 (우)46726,2672,['매일 11:00 ~ 22:00'],"{'월남쌈 샤브샤브(1인 기준)': '13,900', '월남쌈 한우 샤브샤브(1인 기준)': '17,900', '스페셜 모듬 샤브샤브(1인 기준)': '22,000'}"
류센소 명지점,일본식라면,4.2,부산 강서구 명지국제5로148번길 16-1 (우)46773,2627,['화~일 11:00 ~ 21:00 (재료 소진 시 조기 마감합니다.)'],"{'류센소 라멘': '8,000', '류센소 카라 라멘': '8,500', '류센소 아사리 라멘': '8,500', '토리 카라아게(8pc)': '6,000', '차슈덮밥': '4,500'}"
한그루양과점,디저트카페,3.9,부산 강서구 명지국제6로1번길 37 1층 (우)46726,2620,['매일 11:00 ~ 21:00'],"{'아메리카노': '4,500', '카페라떼': '5,000', '바닐라라떼': '5,500', '크림수플레팬케익': '12,000', '인절미수플레팬케익': '14,000'}"
로다로지,"제과,베이커리",4.4,부산 강서구 명지국제12로19번길 20-10 (우)46773,2504,['토 09:00 ~ 18:00'],"{'아메리카노(HOT)': '3,500', '카페라떼(HOT)': '4,000', '바닐라라떼(HOT)': '4,500', '카페모카(HOT)': '4,500', '녹차라떼(HOT)': '4,500'}"
수차이나,중국요리,3.4,부산 강서구 마음길 1-7 (우)46729,2495,['매일 09:30 ~ 21:00'],"{'짜장': '6,000', '해물짬뽕': '8,000', '새우볶음밥': '7,000', '탕수육(소)': '15,000', '깐풍기(소)': '18,000'}"
동해수산,회,2.9,부산 강서구 신호산단1로72번길 7 (우)46760,2283,['매일 09:00 ~ 20:30'],"{'킹크랩 (1kg)': '60,000', '대게 (1kg)': '55,000', '랍스타 (1kg)': '50,000', '회밥': '6,000', '매운탕 (소)': '5,000'}"
스타벅스 스타필드명지점,스타벅스,2.9,부산 강서구 명지국제6로 168 1층 (우)46772,2266,['매일 10:00 ~ 22:00'],"{'아이스 슈크림 라떼': '6,300', '슈크림 라떼': '6,300', '봄 딸기 라떼': '6,900', '리저브 나이트로': '7,500', '바질 레몬 셔벗 블렌디드': '6,500', '제주 말차 & 애플망고 블렌디드': '7,500', '': ''}"
부산강서구맛집경마장돌짜장,퓨전요리,3.0,부산 강서구 가락대로900번가길 9 1층 (우)46727,2247,"['화~일 11:00 ~ 20:00', '화~일 휴게시간 15:30 ~ 16:30']","{'추천\n돌짜장 큰중': '25,000', '돌짜장 큰대': '35,000', '추천\n매운 돼지갈비찜 큰중': '35,000', '매운 돼지갈비찜 큰대': '45,000'}"
팔각도 부산명지점,팔각도,4.3,부산 강서구 명지국제6로232번길 13-1 1층 (우)46772,2229,['매일 11:00 ~ 21:00'],"{'숯불닭갈비': '10,900'}"
현풍닭칼국수 부산명지점,칼국수,4.0,"부산 강서구 명지국제8로 286 201,204호 (우)46772",2208,['매일 11:00 ~ 21:00'],"{'닭칼국수': '6,500', '삼계칼국수': '9,500', '닭곰탕': '7,500', '한방수육': '18,000', '갈미고기만두': '4,000'}"
소고기집박군 명지점,"육류,고기",3.8,부산 강서구 명지국제6로220번길 5-4 (우)46772,2190,['매일 11:30 ~ 23:00'],"{'냉면': '5,000', '점심특선1': '9,000', '점심특선2': '10,000', '소고기 된장국밥': '6,000'}"
