순위,업소명,주소,분류,검색량
43,더도이종가집돼지국밥구서점,부산 금정구 금정로 249-0,한식,2462
44,오륙도낙지,부산 금정구 수림로20번길 49-0,전문음식,2441
45,녹우원,부산 금정구 중앙대로1763번길 27-0,한식,2399
46,뉴숯불통닭본점,부산 금정구 금강로335번길 55-0,간이음식,2359
47,자봉산장,부산 금정구 북문로 32-0,한식,2341
48,투썸플레이스부산남산점,부산 금정구 금샘로 399-1,카페/찻집,2300
49,울산집,부산 금정구 오륜대로 145-93,한식,2286
50,셀라스범어사점,부산 금정구 금샘로 538-0,카페/찻집,2249
51,경희궁구서점,부산 금정구 금샘로 441-0,전문음식,2126
52,서문국수,부산 금정구,한식,2074
53,면채움,부산 금정구 금정로231번길 11-0,간이음식,2035
54,명륜진사갈비부산구서점,부산 금정구 금정로185번길 30-0,한식,2008
55,농가의하루,부산 금정구 금샘로 335-0,외국식,1987
56,동래산성낙원집,부산 금정구 산성로 418-0,한식,1983
57,파스쿠찌부산남산점,부산 금정구 금샘로 351-0,카페/찻집,1940
58,카페지수,부산 금정구 산성로 428-0,카페/찻집,1920
59,맥도날드부산대2호점,부산 금정구 금정로60번길 24-0,간이음식,1857
60,우렁각시와꽃길,부산 금정구 금샘로 567-0,한식,1833
61,샤브향남산점,부산 금정구 금샘로 533-0,전문음식,1820
62,양지집,부산 금정구 오륜대로 271-0,한식,1795
63,옵스구서골드점,부산 금정구 금강로 477-0,간이음식,1754
64,이랴이랴남산점,부산 금정구 중앙대로 1975-0,한식,1750
65,소나무집,부산 금정구 오륜대로 274-0,전문음식,1712
66,본중식,부산 금정구 금샘로 359-0,외국식,1601
67,물레방아집,부산 금정구 산성로 522-0,한식,1578
68,애슐리퀸즈NC부산대점,부산 금정구 부산대학로63번길 2-0,전문음식,1572
69,대성관초밥,부산 금정구 금강로 179-0,외국식,1566
70,임진각식당,부산 금정구 놀이마당로 24-0,한식,1553
71,고려해장국,부산 금정구 청룡예전로 34-0,한식,1539
72,천하대장군,부산 금정구 공해5길 28-0,한식,1521
73,동원장수촌,부산 금정구 금강로 577-0,한식,1423
74,안경희개미집금정직영점,부산 금정구 금정로 204-0,전문음식,1361
75,범일돼지국밥,부산 금정구 무학송로 129-0,한식,1347
76,나고야[일식],부산 금정구 체육공원로399번길 325-11,외국식,1344
77,고기굽는남자구서점,부산 금정구 수림로50번길 122-0,한식,1338
78,해오름[한식],부산 금정구 체육공원로 680-0,한식,1330
79,현대가든,부산 금정구 산성로 510-0,한식,1320
80,디위드,부산 금정구 중앙대로 2356-0,카페/찻집,1306
81,금샘다방,부산 금정구 금샘로 574-0,카페/찻집,1287
82,포맨티코,부산 금정구 장전로12번길 16-0,외국식,1285
83,낭만제주,부산 금정구 금정로 200-0,한식,1284
84,유씨집,부산 금정구 상마2길 17-1,한식,1239
85,산성청송가든,부산 금정구 산성로 516-0,한식,1199
86,개화[중식],부산 금정구 동현로16번길 45-0,외국식,1189
87,카페호밀,부산 금정구 금샘로 34-0,카페/찻집,1183
88,송부장돼지갈비,부산 금정구 서동로 182-0,한식,1175
89,북문국수,부산 금정구 북문로 53-0,음식점기타,1166
90,명품달인김밥본점,부산 금정구 중앙대로 2346-0,간이음식,1152
91,청룡갈비,부산 금정구 청룡로 28-0,한식,1149
92,손씨집[한식],부산 금정구 상마1길 46-0,한식,1148
93,우디,부산 금정구 식물원로 36-5,전문음식,1129
94,오복미역구서점,부산 금정구 금정로 251-0,한식,1128
95,금정한정식[한식],부산 금정구 금샘로 431-0,한식,1103
96,채선당플러스남산점,부산 금정구 청룡로 59-0,전문음식,1100
97,금정어가,부산 금정구 두실로 17-0,한식,1098
98,배밭집,부산 금정구 오륜대로 258-0,한식,1077
99,청사초롱,부산 금정구 산성로 447-0,한식,1072
100,J949,부산 금정구 하정로50번길 12-1,카페/찻집,1070
1,칠암사계,부산 기장군 칠암1길 7-10,카페/찻집,89426
2,웨이브온커피,부산 기장군 해맞이로 286-0,카페/찻집,66470
3,풍원장시골밥상집[한식],부산 기장군 기장해안로 250-0,한식,31349
4,대게만찬,부산 기장군 기장해안로 266-0,전문음식,31016
5,바릇식당,부산 기장군 문오성길 61-0,전문음식,28147
6,헤이든,부산 기장군 문오성길 22-0,카페/찻집,26181
7,코랄라니,부산 기장군 기장해안로 32-0,카페/찻집,25086
8,피크스퀘어,부산 기장군 기장해안로 864-0,카페/찻집,21344
9,얼크니손칼국수기장점,부산 기장군 차성로417번길 22-0,한식,19352
10,고향연화,부산 기장군 연화길 33-8,전문음식,19061
11,공극샌드커피,부산 기장군 공수해안길 41-0,카페/찻집,17372
12,제이엠커피로스터스부산본점,부산 기장군 대변3길 8-0,카페/찻집,15956
13,명품물회,부산 기장군 기장해안로 34-20,전문음식,15536
14,스타벅스동부산DT점,부산 기장군 기장해안로 56-0,카페/찻집,15415
15,하녹,부산 기장군 내리길 146-5,카페/찻집,15333
16,어느멋진날,부산 기장군 기장해안로 1286-0,전문음식,15317
17,덕미,부산 기장군 동암해안길 77-0,카페/찻집,14916
18,오프오,부산 기장군 기장해안로 860-0,카페/찻집,13996
19,칠암일번지횟집,부산 기장군 문오성길 547-0,전문음식,13825
20,미식일상,부산 기장군 동부산관광로 34-0,외국식,13486
21,스타벅스기장역DT점,부산 기장군 기장대로 527-0,카페/찻집,13442
22,맥도날드부산정관DT점,부산 기장군 정관로 584-0,간이음식,12495
23,로아누,부산 기장군 기장대로 868-34,한식,11708
24,탐복,부산 기장군 문오성길 31-0,한식,11269
25,일등가한우만찬,부산 기장군 기장해안로 266-0,한식,10871
26,보몽드,부산 기장군 구기길 19-7,카페/찻집,10708
27,일광아구찜,부산 기장군 삼성3길 55-0,한식,10358
28,철마한우수목원,부산 기장군 곰내길 308-0,한식,10357
29,두루미베이커리카페,부산 기장군 곰내길 654-77,카페/찻집,10321
30,맥도날드부산기장DT점,부산 기장군 기장대로 500-0,간이음식,9863
31,우즈베이커리,부산 기장군 일광로 346-0,간이음식,9609
32,바보낙지,부산 기장군 동암해안길 6-0,한식,9394
33,카페드220볼트오시리아,부산 기장군 기장해안로 98-0,카페/찻집,9087
34,철마연밥[한식],부산 기장군,한식,8986
35,대보름,부산 기장군 기장해안로 98-0,카페/찻집,8857
36,메이크씨,부산 기장군 일광로 754-0,카페/찻집,8831
37,전산가든,부산 기장군 학리길 16-0,한식,8701
38,메르데쿠르,부산 기장군 기장해안로 871-1,카페/찻집,8580
39,스타벅스부산정관점,부산 기장군 정관로 579-0,카페/찻집,8243
40,료코기장점 [일식],부산 기장군 기장해안로 925-1,외국식,8057
41,차알동부산롯데월드점,부산 기장군 동부산관광로 34-0,외국식,7889
42,카페윤,부산 기장군 기장해안로 34-16,카페/찻집,7880
43,형제가든,부산 기장군 석길길 16-6,한식,7831
44,카페공지,부산 기장군 기장해안로 509-0,카페/찻집,7742
45,유정1995,부산 기장군 병산로 303-0,카페/찻집,7721
46,무진장횟집,부산 기장군 연화1길 137-0,전문음식,7679
47,일광대복집,부산 기장군 이화로 3-0,전문음식,7630
48,흙시루,부산 기장군 차성로451번길 28-0,한식,7288
49,송정해녀집본점,부산 기장군 공수해안길 57-2,전문음식,7177
50,마리솔,부산 기장군 일광로 290-0,카페/찻집,7095
51,곰내재468,부산 기장군 곰내길 468-0,한식,7073
52,D1베이커리카페,부산 기장군 일광로 326-0,카페/찻집,7057
53,향유정속초이모네찜부산점,부산 기장군 대변로 105-0,한식,7055
54,어촌밥상,부산 기장군 연화2길 4-0,한식,7025
55,씨앤트리,부산 기장군 일광로 808-0,카페/찻집,6716
56,아수라기장점,부산 기장군 반송로 1628-0,한식,6687
57,기장혼국보미역본점,부산 기장군 공수1길 3-0,한식,6521
58,제이엠커피로스터스정관점,부산 기장군 곰내길 634-0,카페/찻집,6506
59,일미아구찜,부산 기장군 학리등대로 102-0,한식,6469
60,풍원장안동보리밥[한식],부산 기장군 기장해안로 250-0,한식,6433
61,카페오시오,부산 기장군 일광로 310-0,카페/찻집,6043
62,바다향꼬막한상,부산 기장군 기장해안로 136-0,전문음식,5933
63,한다솥기장점,부산 기장군 기장해안로 128-0,한식,5888
64,바이킹스워프동부산점,부산 기장군 동부산관광로 34-0,전문음식,5867
65,기장끝집본점,부산 기장군 기장해안로 895-0,간이음식,5774
66,못난이식당기장점,부산 기장군 차성동로73번길 12-0,전문음식,5763
67,어보,부산 기장군 일광로 582-22,전문음식,5707
68,미청식당,부산 기장군 기장해안로 1303-0,한식,5685
69,도토리,부산 기장군 상장안1길 29-4,카페/찻집,5666
70,그릿비,부산 기장군 일광로 354-0,카페/찻집,5647
71,해녀천지할매집,부산 기장군 연화1길 210-0,한식,5597
72,부산조개창고,부산 기장군 구연3로 17-0,전문음식,5421
73,가마솥생복집,부산 기장군 차성로 327-2,전문음식,5225
74,호찐빵,부산 기장군 일광로 123-0,간이음식,5197
75,우송,부산 기장군 철마로 697-0,한식,5115
76,철마원조추어탕,부산 기장군 개좌로 763-0,한식,5091
77,일광정,부산 기장군 일광로 645-0,한식,5078
78,카페베이스,부산 기장군 연화1길 73-0,카페/찻집,5071
79,포에버얌,부산 기장군 문오성길 43-0,외국식,5061
80,칠암만장,부산 기장군 일광로 648-0,전문음식,4984
81,더이스트인부산,부산 기장군 기장해안로 266-0,전문음식,4961
82,대성갈치찌개구이,부산 기장군 대변2길 9-0,한식,4951
83,샤브쌈주머니부산오시리아점,부산 기장군 기장해안로 172-0,전문음식,4792
84,아틀리에은유재,부산 기장군 기룡2길 70-4,카페/찻집,4760
85,해녀조씨할매집,부산 기장군 연화1길 187-0,한식,4725
86,카페시랑이랑,부산 기장군 공수1길 19-0,카페/찻집,4715
87,부엌우동집,부산 기장군 당사로1길 11-0,외국식,4700
88,일광소나무집해산물전복죽,부산 기장군 일광로 334-0,한식,4680
89,기장해변짚불곰장어,부산 기장군 공수2길 11-0,전문음식,4529
90,마츠도,부산 기장군 당사로8길 22-0,외국식,4441
91,토리나무,부산 기장군 곰내길 378-0,카페/찻집,4420
92,버거킹부산정관DT점,부산 기장군 용수로 48-0,간이음식,4398
93,헬카우,부산 기장군 소정길 38-0,전문음식,4236
94,버거베이,부산 기장군 일광로 493-29,간이음식,4197
95,제주항통갈치,부산 기장군 공수2길 3-2,한식,4195
96,장군멸치회촌,부산 기장군 기장해안로 607-0,전문음식,4189
97,웨스턴챔버,부산 기장군 병산로 221-19,카페/찻집,4153
98,미동암소정,부산 기장군 미동길 19-0,한식,4108
99,장안숲므로,부산 기장군 방모산2길 37-0,카페/찻집,4081
