상호명,카테고리,평점,주소,운영시간,메뉴,시설
진주식당,해장국,4.4,부산 영도구 절영로14번길 2 (우)49033,['매일 05:00 ~ 13:00'],"{'해장국': '5,000'}",{}
대교횟집,회,3.0,부산 영도구 태종로73번길 6 (우)49037,['매일 10:00 ~ 22:00'],"{'참가자미회(소)': '40,000', '해물단품': '15,000', '전복물회': '18,000', '회덮밥': '12,000', '우럭매운탕': '12,000'}",{}
또시아,중식,4.8,부산 영도구 절영로 6 1층 (우)49033,"['월,수,목,금,토,일 11:30 ~ 21:30', '월,수,목,금,토,일 휴게시간 15:00 ~ 17:00']","{'추천\n홍소우육면': '11,000', '추천\n마라마파두부+계란볶음밥': '13,000', '가지튀김': '13,000', '꿔바로우': '14,000', '멘보샤': '15,000', '칠리새우': '17,000', '': ''}",{'주차': '가능'}
드메르 영도점,카페,4.8,부산 영도구 절영로 15 (우)49036,['월~금 09:00 ~ 22:30'],"{'카페라떼(Tall)': '4,000', '아메리카노(Tall)': '3,000', '비엔나_오리지널': '5,000', '밀크티': '4,500', '그린티스무디': '4,000'}",{}
미진축산 영도남항점,삼겹살,5.0,부산 영도구 절영로43번길 27 1층 (우)49054,['매일 14:00 ~ 02:00'],"{'오도독 갈비살': '5,400'}",{}
봉자막창 영도점,"곱창,막창",5.0,부산 영도구 태종로 70-1 (우)49045,['매일 16:00 ~ 01:00'],{},{}
영도뼈다귀해장국,해장국,4.7,부산 영도구 절영로14번길 17 1층 (우)49037,['매일 10:00 ~ 22:00'],"{'뼈다귀해장국': '7,000', '김치콩나물': '6,000', '된장찌개': '6,000', '동태찌개': '7,000', '감자탕(소)': '20,000'}",{}
부산고등어,"해물,생선",4.4,부산 영도구 태종로50번길 41 (우)49042,['월~토 11:30 ~ 20:00'],{},{}
옛날장어탕,장어,4.4,부산 영도구 태종로73번길 6-1 1층 (우)49037,['월~토 11:00 ~ 21:00'],"{'장어탕': '17,000', '장어구이(소)': '55,000', '장어구이(대)': '75,000'}",{'주차': ''}
톤섬,한식,4.8,부산 영도구 남항로9번길 36 (우)49045,['null'],{},{}
백년족발 영도본점,"족발,보쌈",5.0,부산 영도구 남항로31번길 36 1층 (우)49053,['매일 17:00 ~ 01:00'],{},{}
목구멍 영도점,목구멍,4.2,부산 영도구 절영로35번길 30 (우)49054,['매일 15:00 ~ 23:00'],{},{'WIFI': '가능'}
오유미당 부산영도점,오유미당,3.9,부산 영도구 태종로65번길 12 1층 (우)49037,"['매일 11:30 ~ 21:00', '매일 휴게시간 15:30 ~ 17:00']",{},"{'WIFI': '가능', '동물출입': '', '주차': '가능', '휠체어사용': '가능', '놀이방': '', '흡연실': ''}"
설빙 영도점,설빙,4.5,부산 영도구 절영로 33 아이블리스 1층 101호 (우)49052,['매일 11:00 ~ 23:00'],{},{}
해무꽃,떡카페,5.0,부산 영도구 절영로 45-1 (우)49054,['null'],{},{}
무시로,"해물,생선",3.0,부산 영도구 태종로65번길 14 (우)49037,['매일 16:00 ~ 02:00'],"{'갈치구이': '30,000', '갈치조림': '30,000', '새우구이': '30,000', 'LA갈비': '20,000', '가오리찜': '30,000', '두부김치': '20,000', '': ''}",{'주차': '가능'}
맛있는고기에솜씨를더하다 대교점,"육류,고기",4.0,부산 영도구 태종로 70-1 (우)49045,['월~금 16:00 ~ 21:00'],"{'숙성 삼겹살 (100g)': '2,900', '숙성 오겹살 (100g)': '3,290', '숙성 항정살 (100g)': '4,990', '수제 양념소갈비 (200g)': '8,990', '수제 양념돼지갈비 (200g)': '5,990'}",{}
영도해장국,해장국,4.0,부산 영도구 남항로9번길 4 (우)49045,['null'],"{'재첩국': '5,000', '선지국': '4,000', '국수': '4,000', '사락국': '4,000'}",{}
알리아농 부산라발스호텔점,양식,2.9,부산 영도구 봉래나루로 82 3층 (우)49033,['null'],"{'런치코스A + 디저트바': '39,000', '디너코스 + 스페셜디저트바': '65,000', '[테이크아웃] 화덕피자': '18,000', '[테이크아웃] 큐브 스테이크 & 웨지감자': '28,000', '[테이크아웃] 감바스 & 수제빵': '20,000'}",{}
하오츠,중국요리,2.0,부산 영도구 절영로13번길 1-1 1층 (우)49034,['매일 11:00 ~ 20:00'],"{'하오츠짬뽕': '10,000', '차돌짬뽕': '7,000', '짜장면': '4,500', '찹쌀 탕수육 (소)': '10,000', '깐쇼새우': '15,000'}",{}
원조포항물회,회,3.0,부산 영도구 남항로9번길 37 (우)49045,['null'],"{'포항물회 (소)': '10,000', '포항물회 (대)': '12,000', '한치물회 (소)': '12,000', '아까+한치물회 (소)': '14,000', '아까모치회 (중)': '30,000'}",{}
